DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
208,1024 16,25 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
209,1024 20,25 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
210,1024 24,25 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
211,1024 28,25 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
212,1024 32,25 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
213,1024 36,25 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
214,1024 40,25 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
215,1024 44,25 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
216,1024 48,25 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
217,1024 16,26 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
218,1024 20,26 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
219,1024 24,26 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
220,1024 28,26 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
221,1024 32,26 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
222,1024 36,26 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
223,1024 40,26 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
224,1024 44,26 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
225,1024 48,26 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
226,1024 16,27 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
227,1024 20,27 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
228,1024 24,27 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
229,1024 28,27 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
230,1024 32,27 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
231,1024 36,27 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
232,1024 40,27 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
233,1024 44,27 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
234,1024 48,27 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
235,1024 16,28 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
236,1024 20,28 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
237,1024 24,28 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
238,1024 28,28 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
239,1024 32,28 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
240,1024 36,28 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
241,1024 40,28 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
242,1024 44,28 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
243,1024 48,28 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
244,1024 16,29 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
245,1024 20,29 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
246,1024 24,29 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
247,1024 28,29 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
248,1024 32,29 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
